Timestamp,Raw,Filtered,BPM,RR_Interval_ms
1768599841.683904,-20097,32101.159581946387,48,1.249
1768599842.641183,38719,44822.59408566041,62,0.957
1768599843.0838761,36991,29795.035432595683,135,0.443
1768599846.734588,-52417,29134.11711937083,119,0.501
1768599847.9339352,-38273,45615.32789713064,50,1.199
1768599848.3339891,-130305,102103.02670465685,149,0.4
1768599849.43401,-17985,86369.60096075083,54,1.1
1768599849.9113128,-188801,86052.00508839292,125,0.477
1768599851.084626,-57409,77430.29268822559,51,1.173
1768599859.8846452,-36545,19569.936872031256,133,0.45
1768599862.1846552,-42689,20848.489327228428,100,0.596
1768599863.234648,-7681,18097.10941672116,57,1.05
1768599863.784676,-1729,27144.927829157557,109,0.55
1768599864.78465,48063,18502.265077820233,60,1.0
1768599865.688185,-18241,26757.753901662356,66,0.904
1768599867.134644,-19841,27286.76720889907,41,1.446
1768599868.034693,-37377,21994.921326088177,66,0.9
1768599868.834666,58751,61944.51711003143,75,0.8
1768599869.792189,-43713,28779.770321497464,62,0.957
1768599870.99226,-25025,21608.107790630587,49,1.2
1768599872.237368,-35841,24228.222899665656,48,1.245
1768599872.6878982,61631,40201.46966517294,133,0.451
1768599873.484649,1151,41172.086617876244,75,0.797
1768599874.534621,114303,74343.52991277138,57,1.05
1768599875.4034061,-30593,35935.922427931415,69,0.869
1768599876.398776,-74561,60035.52314284441,60,0.995
1768599876.857363,-273793,97783.00289743491,130,0.459
1768599877.734633,19007,81971.19107297424,68,0.877
1768599880.695132,-74817,268261.06662212976,90,0.66
1768599882.034747,-147649,236124.20963042806,44,1.34
1768599883.455752,-876737,307166.5319864552,42,1.421
1768599883.8847308,348031,413510.3548020584,139,0.429
1768599884.8347032,37119,233252.5819380931,63,0.95
1768599890.385746,-40385,302737.4238243122,70,0.851
1768599890.8847558,401343,239406.4596018835,120,0.499
1768599891.434686,-452417,232294.90971379797,109,0.55
1768599892.76624,47615,336505.18163689534,45,1.331
1768599919.376561,-67393,140740.2780626321,48,1.245
1768599929.9150562,-14657,50385.08857108902,46,1.291
1768599932.842355,37631,47422.414755956226,58,1.031
1768599933.7606988,-67073,37496.083165056654,65,0.918
1768599944.1208231,-36929,15153.58101086233,51,1.165
1768599948.575138,7487,19694.66442719372,68,0.874
1768599950.983281,-36993,22019.66720939349,140,0.426
1768599952.183757,25215,40932.338969476135,49,1.2
1768599953.628737,-28801,32681.01525300399,41,1.445
1768599954.6243572,-412545,1487908.696688737,60,0.996
1768599955.185007,-714689,1761606.8564959674,107,0.561
1768599956.216964,2634943,1951466.0392220514,58,1.032
1768599956.700756,-1880641,1255769.3973189539,124,0.484
1768599957.692598,1369343,2583798.326126427,60,0.992
1768599965.2336152,-616321,1103660.664775102,97,0.615
1768599967.378046,1171071,2256645.150095757,126,0.474
1768599967.918318,-726593,1312769.4970550814,111,0.54
1768599978.878601,1355967,164898.0440587722,134,0.447
1768599992.087907,-296897,338148.2484272423,47,1.253
1768599996.6348228,-5889,285669.42560041783,60,1.0
1768600004.334785,-22465,21221.17247351475,63,0.95
1768600006.9848619,4799,30211.34653419413,66,0.9
1768600007.834832,-19073,26544.182031669516,70,0.85
1768600008.69634,-15873,14677.964202021783,69,0.861
1768600009.584795,40511,20387.086172034604,67,0.889
1768600010.334805,-61377,27487.78125848663,79,0.75
1768600010.740067,-136321,98150.86619768098,148,0.405
1768600012.084789,23359,56318.409081487196,44,1.345
1768600013.1893299,-201601,242301.452202274,54,1.105
1768600014.553192,43455,219434.11394293857,43,1.364
1768600015.684764,748607,233666.4717239896,53,1.132
1768600016.408609,-538177,218348.3158318772,82,0.724
1768600016.842855,-311425,311919.7948166589,138,0.434
